ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3005719,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005720,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005721,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005722,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005723,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3001440,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008568,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008569,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008570,OXA beta-lactamase;OXA-62-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008571,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008572,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008573,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008574,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008575,OXA beta-lactamase;OXA-12-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008576,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008577,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3001441,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008578,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008579,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008580,OXA beta-lactamase;OXA-12-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008581,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008582,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008583,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008584,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008585,OXA beta-lactamase;OXA-48-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008586,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008587,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
